Año,Departamento,Municipio,Producto,Área Cosechada,Área Sembrada,Producción,Rendimiento,Ciclo
2020,ANTIOQUIA,ABEJORRAL,AGUACATE HASS,707.0,857.0,13433.0,19.0,PERMANENTE
2022,ANTIOQUIA,ABEJORRAL,AGUACATE HASS,3857.0,4307.0,73283.0,19.0,PERMANENTE
2024,ANTIOQUIA,ABEJORRAL,AGUACATE HASS,3357.0,3857.0,63783.0,19.0,PERMANENTE
2021,ANTIOQUIA,ABEJORRAL,AGUACATE HASS,707.0,1007.0,13433.0,19.0,PERMANENTE
2021,ANTIOQUIA,ABRIAQUI,AGUACATE HASS,148.0,235.0,740.0,5.0,PERMANENTE
2024,ANTIOQUIA,ABRIAQUI,AGUACATE HASS,329.0,331.0,1645.0,5.0,PERMANENTE
2023,ANTIOQUIA,ABRIAQUI,AGUACATE HASS,213.0,481.0,1065.0,5.0,PERMANENTE
2020,ANTIOQUIA,ABRIAQUI,AGUACATE HASS,130.0,222.0,650.0,5.0,PERMANENTE
2022,ANTIOQUIA,ABRIAQUI,AGUACATE HASS,189.0,471.0,945.0,5.0,PERMANENTE
2023,ANTIOQUIA,AMAGA,AGUACATE HASS,53.5,76.0,535.0,10.0,PERMANENTE
2021,ANTIOQUIA,AMAGA,AGUACATE HASS,3.5,74.0,35.0,10.0,PERMANENTE
2024,ANTIOQUIA,AMAGA,AGUACATE HASS,70.0,70.0,700.0,10.0,PERMANENTE
2022,ANTIOQUIA,AMAGA,AGUACATE HASS,53.5,76.0,535.0,10.0,PERMANENTE
2020,ANTIOQUIA,AMAGA,AGUACATE HASS,4.5,139.5,45.0,10.0,PERMANENTE
2024,ANTIOQUIA,ANDES,AGUACATE HASS,35.5,35.5,124.25,3.5,PERMANENTE
2020,ANTIOQUIA,ANDES,AGUACATE HASS,8.0,8.0,28.0,3.5,PERMANENTE
2022,ANTIOQUIA,ANDES,AGUACATE HASS,10.0,50.0,35.0,3.5,PERMANENTE
2023,ANTIOQUIA,ANDES,AGUACATE HASS,10.0,104.5,35.0,3.5,PERMANENTE
2021,ANTIOQUIA,ANDES,AGUACATE HASS,5.0,10.0,17.5,3.5,PERMANENTE
2022,ANTIOQUIA,ANGOSTURA,AGUACATE HASS,87.0,92.0,870.0,10.0,PERMANENTE
2020,ANTIOQUIA,ANGOSTURA,AGUACATE HASS,41.8,79.8,334.4,8.0,PERMANENTE
2021,ANTIOQUIA,ANGOSTURA,AGUACATE HASS,61.0,92.0,579.5,9.5,PERMANENTE
2024,ANTIOQUIA,ANGOSTURA,AGUACATE HASS,32.0,32.0,224.0,7.0,PERMANENTE
2023,ANTIOQUIA,ANGOSTURA,AGUACATE HASS,82.0,82.0,820.0,10.0,PERMANENTE
2020,ANTIOQUIA,ANZA,AGUACATE HASS,34.8,34.8,139.2,4.0,PERMANENTE
2022,ANTIOQUIA,ANZA,AGUACATE HASS,45.8,45.8,412.2,9.0,PERMANENTE
2024,ANTIOQUIA,ANZA,AGUACATE HASS,45.8,47.8,412.2,9.0,PERMANENTE
2021,ANTIOQUIA,ANZA,AGUACATE HASS,39.8,45.8,359.0,9.02,PERMANENTE
