Año,Departamento,Municipio,Producto,Área Cosechada,Área Sembrada,Producción,Rendimiento,Ciclo
2020,ANTIOQUIA,ABEJORRAL,AGUACATE HASS,"707,00","857,00","13.433,00","19,00",PERMANENTE
2022,ANTIOQUIA,ABEJORRAL,AGUACATE HASS,"3.857,00","4.307,00","73.283,00","19,00",PERMANENTE
2024,ANTIOQUIA,ABEJORRAL,AGUACATE HASS,"3.357,00","3.857,00","63.783,00","19,00",PERMANENTE
2021,ANTIOQUIA,ABEJORRAL,AGUACATE HASS,"707,00","1.007,00","13.433,00","19,00",PERMANENTE
2021,ANTIOQUIA,ABRIAQUI,AGUACATE HASS,"148,00","235,00","740,00","5,00",PERMANENTE
2024,ANTIOQUIA,ABRIAQUI,AGUACATE HASS,"329,00","331,00","1.645,00","5,00",PERMANENTE
2023,ANTIOQUIA,ABRIAQUI,AGUACATE HASS,"213,00","481,00","1.065,00","5,00",PERMANENTE
2020,ANTIOQUIA,ABRIAQUI,AGUACATE HASS,"130,00","222,00","650,00","5,00",PERMANENTE
2022,ANTIOQUIA,ABRIAQUI,AGUACATE HASS,"189,00","471,00","945,00","5,00",PERMANENTE
2023,ANTIOQUIA,AMAGA,AGUACATE HASS,"53,50","76,00","535,00","10,00",PERMANENTE
2021,ANTIOQUIA,AMAGA,AGUACATE HASS,"3,50","74,00","35,00","10,00",PERMANENTE
2024,ANTIOQUIA,AMAGA,AGUACATE HASS,"70,00","70,00","700,00","10,00",PERMANENTE
2022,ANTIOQUIA,AMAGA,AGUACATE HASS,"53,50","76,00","535,00","10,00",PERMANENTE
2020,ANTIOQUIA,AMAGA,AGUACATE HASS,"4,50","139,50","45,00","10,00",PERMANENTE
2024,ANTIOQUIA,ANDES,AGUACATE HASS,"35,50","35,50","124,25","3,50",PERMANENTE
2020,ANTIOQUIA,ANDES,AGUACATE HASS,"8,00","8,00","28,00","3,50",PERMANENTE
2022,ANTIOQUIA,ANDES,AGUACATE HASS,"10,00","50,00","35,00","3,50",PERMANENTE
2023,ANTIOQUIA,ANDES,AGUACATE HASS,"10,00","104,50","35,00","3,50",PERMANENTE
2021,ANTIOQUIA,ANDES,AGUACATE HASS,"5,00","10,00","17,50","3,50",PERMANENTE
2022,ANTIOQUIA,ANGOSTURA,AGUACATE HASS,"87,00","92,00","870,00","10,00",PERMANENTE
2020,ANTIOQUIA,ANGOSTURA,AGUACATE HASS,"41,80","79,80","334,40","8,00",PERMANENTE
2021,ANTIOQUIA,ANGOSTURA,AGUACATE HASS,"61,00","92,00","579,50","9,50",PERMANENTE
2024,ANTIOQUIA,ANGOSTURA,AGUACATE HASS,"32,00","32,00","224,00","7,00",PERMANENTE
2023,ANTIOQUIA,ANGOSTURA,AGUACATE HASS,"82,00","82,00","820,00","10,00",PERMANENTE
2020,ANTIOQUIA,ANZA,AGUACATE HASS,"34,80","34,80","139,20","4,00",PERMANENTE
2022,ANTIOQUIA,ANZA,AGUACATE HASS,"45,80","45,80","412,20","9,00",PERMANENTE
2024,ANTIOQUIA,ANZA,AGUACATE HASS,"45,80","47,80","412,20","9,00",PERMANENTE
2021,ANTIOQUIA,ANZA,AGUACATE HASS,"39,80","45,80","359,00","9,02",PERMANENTE
2024,ANTIOQUIA,ARCABUCO,AGUACATE HASS,"1,00","1,80","5,00","5,00",PERMANENTE
2021,ANTIOQUIA,ARCABUCO,AGUACATE HASS,"0,00","1,00","0,00","0,00",PERMANENTE
2022,ANTIOQUIA,ARCABUCO,AGUACATE HASS,"1,00","1,00","5,00","5,00",PERMANENTE
2020,ANTIOQUIA,ARCABUCO,AGUACATE HASS,"1,00","1,00","2,00","2,00",PERMANENTE
2023,ANTIOQUIA,ARCABUCO,AGUACATE HASS,"1,00","1,00","5,00","5,00",PERMANENTE
2020,ANTIOQUIA,ARGELIA,AGUACATE HASS,"6,58","8,58","52,64","8,00",PERMANENTE
2024,ANTIOQUIA,ARGELIA,AGUACATE HASS,"6,08","6,08","54,72","9,00",PERMANENTE
2023,ANTIOQUIA,ARGELIA,AGUACATE HASS,"6,08","6,08","54,72","9,00",PERMANENTE
2023,ANTIOQUIA,BARBOSA,AGUACATE HASS,"10,32","14,32","51,60","5,00",PERMANENTE
2020,ANTIOQUIA,BARBOSA,AGUACATE HASS,"8,20","10,20","33,00","4,02",PERMANENTE
2022,ANTIOQUIA,BARBOSA,AGUACATE HASS,"8,02","12,32","36,09","4,50",PERMANENTE
2021,ANTIOQUIA,BARBOSA,AGUACATE HASS,"7,20","11,20","28,80","4,00",PERMANENTE
2024,ANTIOQUIA,BARBOSA,AGUACATE HASS,"12,00","15,00","66,00","5,50",PERMANENTE
2021,ANTIOQUIA,BELLO,AGUACATE HASS,"10,60","11,60","84,80","8,00",PERMANENTE
2024,ANTIOQUIA,BELLO,AGUACATE HASS,"11,60","21,60","92,80","8,00",PERMANENTE
2023,ANTIOQUIA,BELLO,AGUACATE HASS,"10,60","21,60","84,80","8,00",PERMANENTE
2020,ANTIOQUIA,BELLO,AGUACATE HASS,"9,60","10,60","76,80","8,00",PERMANENTE
2024,ANTIOQUIA,BETULIA,AGUACATE HASS,"139,00","139,00","1.390,00","10,00",PERMANENTE
2021,ANTIOQUIA,BETULIA,AGUACATE HASS,"94,00","164,00","1.410,00","15,00",PERMANENTE
2020,ANTIOQUIA,BETULIA,AGUACATE HASS,"134,00","134,00","1.340,00","10,00",PERMANENTE
2022,ANTIOQUIA,BETULIA,AGUACATE HASS,"94,00","164,00","1.128,00","12,00",PERMANENTE
